type	latitude	longitude	name	desc
T	32.880960000	-117.235940000		
T	32.880960000	-117.235890000		
T	32.880430000	-117.236140000		
T	32.880310000	-117.236280000		
T	32.880150000	-117.236480000		
T	32.880310000	-117.236280000		
T	32.880350000	-117.236510000		
T	32.880350000	-117.236740000		
T	32.880330000	-117.237000000		
T	32.880290000	-117.237110000		
T	32.880270000	-117.237220000		
T	32.880310000	-117.237220000		
T	32.880310000	-117.237300000		
T	32.880330000	-117.237370000		
T	32.880360000	-117.237390000		
T	32.880400000	-117.237410000		
T	32.880400000	-117.237420000		
T	32.880410000	-117.237450000		
T	32.880460000	-117.237480000		
T	32.880500000	-117.237500000		
T	32.880530000	-117.237520000		
T	32.880660000	-117.237500000		
T	32.880660000	-117.237560000		
T	32.880660000	-117.237600000		
T	32.880530000	-117.237590000		
T	32.880510000	-117.237610000		
T	32.880470000	-117.237620000		
T	32.880440000	-117.237630000		
T	32.880400000	-117.237640000		
T	32.880390000	-117.237680000		
T	32.880460000	-117.237650000		
T	32.880500000	-117.237640000		
T	32.880540000	-117.237740000		
T	32.880550000	-117.237790000		
T	32.880550000	-117.237830000		
T	32.880550000	-117.237960000		
T	32.880570000	-117.237990000		
T	32.880600000	-117.238030000		
T	32.880630000	-117.238060000		
T	32.880660000	-117.238070000		
T	32.880700000	-117.238090000		
T	32.880740000	-117.238100000		
T	32.881000000	-117.238100000		
T	32.881060000	-117.238110000		
T	32.881100000	-117.238120000		
T	32.881190000	-117.238140000		
T	32.881210000	-117.238140000		
T	32.881270000	-117.238170000		
T	32.881320000	-117.238170000		
T	32.881360000	-117.238190000		
T	32.881400000	-117.238190000		
T	32.881440000	-117.238200000		
T	32.881530000	-117.238250000		
T	32.881580000	-117.238340000		
T	32.881610000	-117.238410000		
T	32.881630000	-117.238400000		
T	32.881640000	-117.238390000		
T	32.881680000	-117.238390000		
T	32.881710000	-117.238400000		
T	32.881740000	-117.238420000		
T	32.881770000	-117.238450000		
T	32.881780000	-117.238490000		
T	32.881780000	-117.238530000		
T	32.881770000	-117.238570000		
T	32.881750000	-117.238610000		
T	32.882090000	-117.238610000		
T	32.882460000	-117.238610000		
T	32.883420000	-117.238620000		
T	32.883460000	-117.238620000		
T	32.883940000	-117.238620000		
T	32.883980000	-117.238620000		
T	32.883980000	-117.238620000		
T	32.884180000	-117.238620000		
T	32.884200000	-117.238620000		
T	32.884200000	-117.238740000		
T	32.884210000	-117.238770000		
T	32.884210000	-117.238820000		
T	32.884240000	-117.238850000		
T	32.884380000	-117.238850000		
T	32.884540000	-117.238850000		
T	32.884580000	-117.238820000		
T	32.884600000	-117.238720000		
T	32.884620000	-117.238630000		
T	32.884800000	-117.238640000		
T	32.884810000	-117.239240000		
T	32.884810000	-117.239430000		
T	32.884870000	-117.239590000		
T	32.884860000	-117.240600000		
T	32.884860000	-117.240660000		
T	32.884850000	-117.240660000		
T	32.884510000	-117.240660000		
T	32.884210000	-117.240660000		
T	32.883860000	-117.240660000		
T	32.883740000	-117.240670000		
T	32.883430000	-117.240680000		
T	32.882810000	-117.240690000		
T	32.882640000	-117.240700000		
T	32.882560000	-117.240700000		
T	32.882430000	-117.240710000		
T	32.882220000	-117.240700000		
T	32.881870000	-117.240700000		
T	32.881860000	-117.240700000		
T	32.881780000	-117.240710000		
T	32.881700000	-117.240720000		
T	32.881390000	-117.240710000		
T	32.881100000	-117.240700000		
T	32.881020000	-117.240770000		
T	32.880930000	-117.240740000		
T	32.880480000	-117.240750000		
T	32.880220000	-117.240760000		
T	32.879730000	-117.240770000		
T	32.879750000	-117.240840000		
T	32.879700000	-117.240800000		
T	32.879620000	-117.240760000		
T	32.879480000	-117.240750000		
T	32.879370000	-117.240710000		
T	32.879290000	-117.240610000		
T	32.879140000	-117.240600000		
T	32.878890000	-117.240610000		
T	32.878820000	-117.240540000		
T	32.878740000	-117.240400000		
T	32.878700000	-117.240210000		
T	32.878740000	-117.239990000		
T	32.878690000	-117.239940000		
T	32.878690000	-117.239910000		
T	32.878690000	-117.239680000		
T	32.878680000	-117.239550000		
T	32.878600000	-117.239500000		
T	32.878530000	-117.239410000		
T	32.878460000	-117.239340000		
T	32.878400000	-117.239280000		
T	32.878360000	-117.239260000		
T	32.878330000	-117.239290000		
